"V1"	"fasta"	"scaffold"	"gene_position"	"start_position"	"end_position"	"strandedness"	"rank"	"ko_id"	"kegg_hit"	"uniref_id"	"uniref_hit"	"uniref_taxonomy"	"uniref_RBH"	"uniref_identity"	"uniref_bitScore"	"uniref_eVal"	"peptidase_id"	"peptidase_family"	"peptidase_hit"	"peptidase_RBH"	"peptidase_identity"	"peptidase_bitScore"	"peptidase_eVal"	"pfam_hits"	"cazy_ids"	"cazy_hits"	"cazy_subfam_ec"	"cazy_best_hit"	"heme_regulatory_motif_count"
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_1570"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	1570	1754904	1755110	1	"E"	""	""	""	""	""	NA	NA	NA	NA	""	""	""	NA	NA	NA	NA	""	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_1571"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	1571	1755008	1756027	-1	"B"	""	""	"A0A1H3MXB7_9PSED"	"UniRef90_A0A1H3MXB7 DUF4917 domain-containing protein n=55 Tax=Pseudomonadaceae TaxID=135621 RepID=A0A1H3MXB7_9PSED"	"Pseudomonadaceae"	TRUE	0.909	646	2.117e-206	""	""	""	NA	NA	NA	NA	"Domain of unknown function (DUF4917) [PF16263.9]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_1572"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	1572	1756185	1757333	1	"B"	"K13954"	"alcohol dehydrogenase [EC:1.1.1.1]"	"A0A0C5EG71_9PSED"	"UniRef90_A0A0C5EG71 Alcohol dehydrogenase iron-type/glycerol dehydrogenase GldA domain-containing protein n=67 Tax=Pseudomonadaceae TaxID=135621 RepID=A0A0C5EG71_9PSED"	"Pseudomonadaceae"	TRUE	0.917	734	2.548e-236	""	""	""	NA	NA	NA	NA	"Iron-containing alcohol dehydrogenase [PF00465.23]; Iron-containing alcohol dehydrogenase [PF13685.10]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_1573"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	1573	1757622	1758368	1	"B"	""	""	"A0A554PP51_9PSED"	"UniRef90_A0A554PP51 Multidrug ABC transporter ATPase n=11 Tax=Pseudomonadaceae TaxID=135621 RepID=A0A554PP51_9PSED"	"Pseudomonadaceae"	TRUE	0.963	505	2.203e-159	""	""	""	NA	NA	NA	NA	""	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_1574"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	1574	1758453	1758869	1	"C"	""	""	"A0A0D5Y4C1_9PSED"	"UniRef90_A0A0D5Y4C1 Glutathione transferase n=47 Tax=Pseudomonadaceae TaxID=135621 RepID=A0A0D5Y4C1_9PSED"	"Pseudomonadaceae"	FALSE	0.922	269	1.014e-79	""	""	""	NA	NA	NA	NA	"Glyoxalase-like domain [PF18029.5]; Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily [PF00903.29]; Glyoxalase-like domain [PF12681.11]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_1575"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	1575	1758997	1759635	1	"B"	""	""	"A0A7S5HLB5_9PSED"	"UniRef90_A0A7S5HLB5 Lysine transporter LysE n=28 Tax=Pseudomonadaceae TaxID=135621 RepID=A0A7S5HLB5_9PSED"	"Pseudomonadaceae"	TRUE	0.949	424	2.541e-132	""	""	""	NA	NA	NA	NA	"LysE type translocator [PF01810.22]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_1576"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	1576	1759747	1761087	1	"B"	""	""	"A0A0C5EG75_9PSED"	"UniRef90_A0A0C5EG75 Diguanylate cyclase n=47 Tax=Pseudomonadaceae TaxID=135621 RepID=A0A0C5EG75_9PSED"	"Pseudomonadaceae"	TRUE	0.893	831	1.094e-268	""	""	""	NA	NA	NA	NA	"Diguanylate cyclase, GGDEF domain [PF00990.25]; PAS fold [PF08448.14]; PAS fold [PF00989.29]; PAS domain [PF14598.10]; PAS fold [PF08447.16]; GAF domain [PF13492.10]; PAS domain [PF13426.11]; GAF domain [PF13185.10]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_1577"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	1577	1761227	1761751	1	"C"	"K08995"	"putative membrane protein"	"A0A3G7TJA9_9PSED"	"UniRef90_A0A3G7TJA9 DUF4142 domain-containing protein n=16 Tax=Pseudomonas TaxID=286 RepID=A0A3G7TJA9_9PSED"	"Pseudomonas"	FALSE	0.85	308	1.098e-92	""	""	""	NA	NA	NA	NA	"Domain of unknown function (DUF4142) [PF13628.10]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_1578"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	1578	1761845	1762735	-1	"B"	""	""	"A0A3G7JDI6_9PSED"	"UniRef90_A0A3G7JDI6 ABC1 atypical kinase-like domain-containing protein n=60 Tax=Pseudomonadaceae TaxID=135621 RepID=A0A3G7JDI6_9PSED"	"Pseudomonadaceae"	TRUE	0.97	588	1.991e-187	""	""	""	NA	NA	NA	NA	"ABC1 atypical kinase-like domain [PF03109.20]; Lipopolysaccharide kinase (Kdo/WaaP) family [PF06293.18]; Protein kinase domain [PF00069.29]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_1579"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	1579	1763025	1763315	1	"E"	""	""	""	""	""	NA	NA	NA	NA	""	""	""	NA	NA	NA	NA	""	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_1580"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	1580	1763231	1764472	-1	"B"	""	""	"A0A5M7CQJ7_9PSED"	"UniRef90_A0A5M7CQJ7 MFS transporter n=52 Tax=Pseudomonadaceae TaxID=135621 RepID=A0A5M7CQJ7_9PSED"	"Pseudomonadaceae"	TRUE	0.877	727	4.233e-233	""	""	""	NA	NA	NA	NA	"Transmembrane secretion effector [PF05977.17]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_1581"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	1581	1764707	1765483	-1	"B"	""	""	"A0A0C5DT19_9PSED"	"UniRef90_A0A0C5DT19 HTH araC/xylS-type domain-containing protein n=37 Tax=Pseudomonadaceae TaxID=135621 RepID=A0A0C5DT19_9PSED"	"Pseudomonadaceae"	TRUE	0.944	513	4.701e-162	""	""	""	NA	NA	NA	NA	"Helix-turn-helix domain [PF12833.11]; PAS fold [PF08448.14]; Bacterial regulatory helix-turn-helix proteins, AraC family [PF00165.27]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_1582"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	1582	1765596	1766858	-1	"B"	"K22549"	"D-hydroxyproline dehydrogenase subunit alpha [EC:1.5.99.-]"	"A0A7S5HLF0_9PSED"	"UniRef90_A0A7S5HLF0 FAD/NAD(P)-binding oxidoreductase n=68 Tax=Pseudomonadaceae TaxID=135621 RepID=A0A7S5HLF0_9PSED"	"Pseudomonadaceae"	TRUE	0.933	823	3.356e-266	""	""	""	NA	NA	NA	NA	"Pyridine nucleotide-disulphide oxidoreductase [PF07992.18]; FAD dependent oxidoreductase [PF12831.11]; NAD(P)-binding Rossmann-like domain [PF13450.10]; Pyridine nucleotide-disulphide oxidoreductase [PF13738.10]; Lycopene cyclase protein [PF05834.16]; Sarcosine oxidase A3 domain [PF17806.5]; FAD binding domain [PF00890.28]; HI0933-like protein [PF03486.18]; FAD dependent oxidoreductase [PF01266.28]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_1583"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	1583	1766855	1767088	-1	"C"	"K22550"	"D-hydroxyproline dehydrogenase subunit gamma"	"A0A1H3MUJ3_9PSED"	"UniRef90_A0A1H3MUJ3 2Fe-2S iron-sulfur cluster binding domain-containing protein n=29 Tax=Pseudomonadaceae TaxID=135621 RepID=A0A1H3MUJ3_9PSED"	"Pseudomonadaceae"	FALSE	0.924	151	3.052e-40	""	""	""	NA	NA	NA	NA	"2Fe-2S iron-sulfur cluster binding domain [PF13510.10]; 2Fe-2S iron-sulfur cluster binding domain [PF13085.10]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_1584"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	1584	1767085	1768218	-1	"B"	"K21061"	"D-hydroxyproline dehydrogenase subunit beta [EC:1.5.99.-]"	"A0A3G7JVK0_9PSED"	"UniRef90_A0A3G7JVK0 D-amino-acid oxidase n=68 Tax=Pseudomonadaceae TaxID=135621 RepID=A0A3G7JVK0_9PSED"	"Pseudomonadaceae"	TRUE	0.93	736	4.179e-237	""	""	""	NA	NA	NA	NA	"FAD dependent oxidoreductase [PF01266.28]; FAD binding domain [PF01494.23]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_1585"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	1585	1768215	1769147	-1	"B"	"K12658"	"4-hydroxyproline epimerase [EC:5.1.1.8]"	"A0A0C5EG80_9PSED"	"UniRef90_A0A0C5EG80 4-hydroxyproline epimerase n=71 Tax=Pseudomonadaceae TaxID=135621 RepID=A0A0C5EG80_9PSED"	"Pseudomonadaceae"	TRUE	0.934	609	2.925e-194	""	""	""	NA	NA	NA	NA	"Proline racemase [PF05544.15]; Phenazine biosynthesis-like protein [PF02567.20]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_1586"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	1586	1769604	1770524	1	"B"	"K21062"	"1-pyrroline-4-hydroxy-2-carboxylate deaminase [EC:3.5.4.22]"	"A0A1E1FSB1_9PSED"	"UniRef90_A0A1E1FSB1 1-pyrroline-4-hydroxy-2-carboxylate deaminase n=71 Tax=Pseudomonadaceae TaxID=135621 RepID=A0A1E1FSB1_9PSED"	"Pseudomonadaceae"	TRUE	0.944	608	4.556e-194	""	""	""	NA	NA	NA	NA	"Dihydrodipicolinate synthetase family [PF00701.26]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_1587"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	1587	1770697	1772265	1	"B"	""	""	"A0A0C5DY58_9PSED"	"UniRef90_A0A0C5DY58 Amino acid permease/ SLC12A domain-containing protein n=103 Tax=Pseudomonadaceae TaxID=135621 RepID=A0A0C5DY58_9PSED"	"Pseudomonadaceae"	TRUE	0.936	1026	0	""	""	""	NA	NA	NA	NA	"Amino acid permease [PF13520.10]; Amino acid permease [PF00324.25]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_1588"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	1588	1772301	1773875	1	"B"	"K13877"	"2,5-dioxopentanoate dehydrogenase [EC:1.2.1.26]"	"A0A5M7CVI1_9PSED"	"UniRef90_A0A5M7CVI1 Aldehyde dehydrogenase (NADP(+)) n=22 Tax=Pseudomonas TaxID=286 RepID=A0A5M7CVI1_9PSED"	"Pseudomonas"	TRUE	0.883	962	2.12800000000021e-312	""	""	""	NA	NA	NA	NA	"Aldehyde dehydrogenase family [PF00171.26]; Acyl-CoA reductase (LuxC) [PF05893.18]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_1589"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	1589	1774009	1775022	1	"B"	"K13609"	"delta1-piperideine-2-carboxylate reductase [EC:1.5.1.21]"	"A0A0C5E0E8_9PSED"	"UniRef90_A0A0C5E0E8 Uncharacterized protein n=1 Tax=Pseudomonas sp. MRSN 12121 TaxID=1611770 RepID=A0A0C5E0E8_9PSED"	"Pseudomonas sp. MRSN 12121"	TRUE	0.878	615	9.094e-196	""	""	""	NA	NA	NA	NA	"Malate/L-lactate dehydrogenase [PF02615.18]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_1590"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	1590	1775060	1775782	1	"B"	""	""	"A0A2N8AN31_9PSED"	"UniRef90_A0A2N8AN31 50S ribosomal protein L7/L12-serine acetyltransferase n=55 Tax=Pseudomonadaceae TaxID=135621 RepID=A0A2N8AN31_9PSED"	"Pseudomonadaceae"	TRUE	0.965	358	1.286e-108	""	""	""	NA	NA	NA	NA	"Acetyltransferase (GNAT) domain [PF13302.11]; Acetyltransferase (GNAT) domain [PF13523.10]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_1591"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	1591	1775965	1776306	1	"C"	""	""	"A0A0C5EUA4_9PSED"	"UniRef90_A0A0C5EUA4 YXWGXW repeat-containing protein n=26 Tax=Pseudomonas TaxID=286 RepID=A0A0C5EUA4_9PSED"	"Pseudomonas"	FALSE	0.953	229	2.169e-66	""	""	""	NA	NA	NA	NA	"WXXGXW repeat (2 copies) [PF12779.11]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_1592"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	1592	1776484	1777146	-1	"B"	"K06988"	"8-hydroxy-5-deazaflavin:NADPH oxidoreductase [EC:1.5.1.40]"	"A0A0C5DT30_9PSED"	"UniRef90_A0A0C5DT30 Pyrroline-5-carboxylate reductase catalytic N-terminal domain-containing protein n=60 Tax=Pseudomonadaceae TaxID=135621 RepID=A0A0C5DT30_9PSED"	"Pseudomonadaceae"	TRUE	0.892	411	1.681e-127	""	""	""	NA	NA	NA	NA	"NAD binding domain of 6-phosphogluconate dehydrogenase [PF03446.19]; Rossmann-like domain [PF10727.13]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_1593"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	1593	1777246	1778139	1	"B"	""	""	"A0A0C5E5G3_9PSED"	"UniRef90_A0A0C5E5G3 HTH lysR-type domain-containing protein n=63 Tax=Pseudomonadaceae TaxID=135621 RepID=A0A0C5E5G3_9PSED"	"Pseudomonadaceae"	TRUE	0.908	563	8.766e-179	""	""	""	NA	NA	NA	NA	"LysR substrate binding domain [PF03466.24]; Bacterial regulatory helix-turn-helix protein, lysR family [PF00126.31]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_1594"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	1594	1778374	1780152	1	"B"	""	""	"A0A0C5DY63_9PSED"	"UniRef90_A0A0C5DY63 EAL domain-containing protein n=59 Tax=Pseudomonadaceae TaxID=135621 RepID=A0A0C5DY63_9PSED"	"Pseudomonadaceae"	TRUE	0.898	1110	0	""	""	""	NA	NA	NA	NA	"EAL domain [PF00563.24]; Diguanylate cyclase, GGDEF domain [PF00990.25]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_1595"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	1595	1780186	1781100	-1	"B"	"K21831"	"cholinesterase"	"A0A554PNR9_9PSED"	"UniRef90_A0A554PNR9 SGNH/GDSL hydrolase family protein n=62 Tax=Pseudomonadaceae TaxID=135621 RepID=A0A554PNR9_9PSED"	"Pseudomonadaceae"	TRUE	0.981	631	4.77e-202	""	""	""	NA	NA	NA	NA	"GDSL-like Lipase/Acylhydrolase [PF00657.26]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_1596"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	1596	1781350	1784637	-1	"B"	""	""	"A0A7S5HLD7_9PSED"	"UniRef90_A0A7S5HLD7 mannuronan 5-epimerase n=25 Tax=Pseudomonadaceae TaxID=135621 RepID=A0A7S5HLD7_9PSED"	"Pseudomonadaceae"	TRUE	0.894	2038	0	"MER0267399"	"N04"	"MER0267399 - family N4 non-lyase homologues (Bordetella bronchiseptica) [N04.UNW]#N04#{peptidase unit: 635-914}~source YP_006899566~"	FALSE	0.57	306	4.758e-83	"Pertactin [PF03212.18]; Autotransporter beta-domain [PF03797.23]; Autochaperone Domain Type 1 [PF18883.4]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_1597"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	1597	1785454	1786338	-1	"B"	"K18100"	"rhamnosyltransferase subunit A [EC:2.4.1.-]"	"A0A7S5HLG3_9PSED"	"UniRef90_A0A7S5HLG3 Alpha/beta hydrolase n=34 Tax=Pseudomonadaceae TaxID=135621 RepID=A0A7S5HLG3_9PSED"	"Pseudomonadaceae"	TRUE	0.983	612	1.109e-195	"MER0039349"	"S33"	"MER0039349 - family S33 unassigned peptidases (Pseudomonas sp. 61-3) [S33.UPW]#S33#{peptidase unit: 1-287}~source Q9AQQ5~"	TRUE	0.894	536	9.663e-172	"alpha/beta hydrolase fold [PF00561.24]; Serine aminopeptidase, S33 [PF12146.12]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_1598"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	1598	1786692	1787384	-1	"B"	"K06183"	"16S rRNA pseudouridine516 synthase [EC:5.4.99.19]"	"A0A0C5E4K3_9PSED"	"UniRef90_A0A0C5E4K3 Pseudouridine synthase n=35 Tax=Pseudomonadaceae TaxID=135621 RepID=A0A0C5E4K3_9PSED"	"Pseudomonadaceae"	TRUE	0.918	443	1.584e-138	""	""	""	NA	NA	NA	NA	"RNA pseudouridylate synthase [PF00849.26]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_1599"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	1599	1787418	1787657	-1	"C"	""	""	"A0A0C5E0G0_9PSED"	"UniRef90_A0A0C5E0G0 Helicase n=3 Tax=Pseudomonas TaxID=286 RepID=A0A0C5E0G0_9PSED"	"Pseudomonas"	FALSE	0.884	148	5.823e-39	""	""	""	NA	NA	NA	NA	"Cysteine-rich CWC [PF14375.10]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_1600"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	1600	1787650	1789137	-1	"B"	""	""	"A0A554PNU1_9PSED"	"UniRef90_A0A554PNU1 diguanylate cyclase n=58 Tax=Pseudomonadaceae TaxID=135621 RepID=A0A554PNU1_9PSED"	"Pseudomonadaceae"	TRUE	0.962	1004	0	""	""	""	NA	NA	NA	NA	"Diguanylate cyclase, GGDEF domain [PF00990.25]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_1601"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	1601	1789410	1789856	1	"C"	""	""	"A0A5M7CWD6_9PSED"	"UniRef90_A0A5M7CWD6 Lipoprotein n=27 Tax=Pseudomonadaceae TaxID=135621 RepID=A0A5M7CWD6_9PSED"	"Pseudomonadaceae"	FALSE	0.89	276	2.96e-82	""	""	""	NA	NA	NA	NA	""	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_1602"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	1602	1789914	1791026	-1	"B"	"K05605"	"3-hydroxyisobutyryl-CoA hydrolase [EC:3.1.2.4]"	"A0A554PNS2_9PSED"	"UniRef90_A0A554PNS2 3-hydroxyisobutyryl-CoA hydrolase n=40 Tax=Pseudomonadaceae TaxID=135621 RepID=A0A554PNS2_9PSED"	"Pseudomonadaceae"	TRUE	0.997	781	7.561e-253	""	""	""	NA	NA	NA	NA	"Enoyl-CoA hydratase/isomerase [PF16113.9]; Enoyl-CoA hydratase/isomerase [PF00378.24]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_1603"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	1603	1791059	1791850	1	"B"	"K03648"	"uracil-DNA glycosylase [EC:3.2.2.27]"	"UNG_PSEFS"	"UniRef90_C3KDS6 Uracil-DNA glycosylase n=628 Tax=Bacteria TaxID=2 RepID=UNG_PSEFS"	"Bacteria"	TRUE	0.946	459	3.379e-143	""	""	""	NA	NA	NA	NA	"Uracil DNA glycosylase superfamily [PF03167.23]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_1604"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	1604	1792023	1793054	-1	"B"	"K07120"	"uncharacterized protein"	"A0A1H3MSM7_9PSED"	"UniRef90_A0A1H3MSM7 Ammonia monooxygenase n=44 Tax=Pseudomonadaceae TaxID=135621 RepID=A0A1H3MSM7_9PSED"	"Pseudomonadaceae"	TRUE	0.958	693	9.652e-223	""	""	""	NA	NA	NA	NA	"Transition state regulatory protein AbrB [PF05145.16]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_1605"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	1605	1793047	1794561	-1	"B"	"K07793"	"putative tricarboxylic transport membrane protein"	"K9NF83_9PSED"	"UniRef90_K9NF83 Tricarboxylate transport protein TctA n=1123 Tax=Bacteria TaxID=2 RepID=K9NF83_9PSED"	"Bacteria"	TRUE	0.872	914	4.104e-296	""	""	""	NA	NA	NA	NA	"Tripartite tricarboxylate transporter TctA family [PF01970.20]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_1606"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	1606	1794563	1795021	-1	"C"	"K07794"	"putative tricarboxylic transport membrane protein"	"A0A0C5DT46_9PSED"	"UniRef90_A0A0C5DT46 Tripartite tricarboxylate transporter TctB family protein n=98 Tax=Pseudomonadaceae TaxID=135621 RepID=A0A0C5DT46_9PSED"	"Pseudomonadaceae"	FALSE	0.903	289	2.014e-86	""	""	""	NA	NA	NA	NA	"Tripartite tricarboxylate transporter TctB family [PF07331.15]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_1607"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	1607	1795078	1796064	-1	"B"	"K07795"	"putative tricarboxylic transport membrane protein"	"A0A2C9EHZ2_PSEPH"	"UniRef90_A0A2C9EHZ2 Tricarboxylic transporter n=565 Tax=Pseudomonadota TaxID=1224 RepID=A0A2C9EHZ2_PSEPH"	"Pseudomonadota"	TRUE	0.912	627	4.701e-200	""	""	""	NA	NA	NA	NA	"Tripartite tricarboxylate transporter family receptor [PF03401.18]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_1608"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	1608	1796146	1797438	-1	"B"	"K18093"	"imipenem/basic amino acid-specific outer membrane pore [EC:3.4.21.-]"	"A0A2C9EI05_PSEPH"	"UniRef90_A0A2C9EI05 Porin D n=282 Tax=Bacteria TaxID=2 RepID=A0A2C9EI05_PSEPH"	"Bacteria"	TRUE	0.899	807	1.155e-260	""	""	""	NA	NA	NA	NA	"outer membrane porin, OprD family [PF03573.17]"	""	""	""	""	0
"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985_1108f2b0a712474f_1_1609"	"Pseudomonas_chlororaphis_subsp_aureofaciens_ATCC_13985"	"1108f2b0a712474f_1"	1609	1797674	1798345	1	"B"	"K07774"	"two-component system, OmpR family, response regulator TctD"	"A0A3M3E1K7_9PSED"	"UniRef90_A0A3M3E1K7 Response regulatory domain-containing protein n=1072 Tax=Bacteria TaxID=2 RepID=A0A3M3E1K7_9PSED"	"Bacteria"	TRUE	0.869	404	4.117e-125	""	""	""	NA	NA	NA	NA	"Response regulator receiver domain [PF00072.28]; Transcriptional regulatory protein, C terminal [PF00486.32]"	""	""	""	""	0
